id,name,description,origin,storage,image_url,start_month,end_month,note
1,だいこん, 日本の代表的な根菜。食物繊維が豊富で、消化を助け、さっぱりとした味わいが特徴。, 北海道、茨城県、群馬県, 冷暗所で保存、乾燥させないように。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745114162/vegetable_1_teu05x.jpg,11,2,冬が最盛期で甘みが増す
2,かぶ, さっぱりとした甘みが特徴の根菜。ビタミンCや食物繊維が豊富で、消化を助けます。, 茨城県、群馬県、兵庫県, 冷蔵庫で保存、葉は切り落とす。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745114162/vegetable_2_ceworu.jpg,10,3,春と秋の年2回が旬
3,にんじん, βカロテンが豊富で、視力や免疫力向上に効果的。サラダや煮物に最適です。, 北海道、千葉県、長崎県, 冷蔵庫の野菜室で保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745052696/vegetable_3_lkdvuq.jpg,11,3,冬が甘くておいしいが、通年流通
4,ごぼう, 食物繊維が豊富で腸内環境を整える働きがある。煮物や炒め物に使われます。, 北海道、群馬県、長野県, 土をつけたまま新聞紙で包み、冷蔵庫で保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745114162/vegetable_4_m2r4bk.jpg,10,2,晩秋から冬にかけてが香り豊か
5,たけのこ, 春が旬の竹の子。低カロリーで食物繊維が豊富、栄養価が高い野菜です。, 京都府、福岡県、静岡県, 新鮮なうちに茹でて冷蔵保存、または冷凍。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745114162/vegetable_5_wrws5j.jpg,4,6,春の短い時期だけの旬野菜
6,れんこん, シャキシャキとした食感で、ビタミンCや食物繊維が豊富。サラダや煮物に使われます。, 茨城県、群馬県、埼玉県, 乾燥しないように湿らせた新聞紙で包み冷蔵庫で保存。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237571/vegetable_6_hoqtdq.jpg,9,11,秋から冬にかけてが旬
7,はくさい, 冬の代表的な野菜。ビタミンCやミネラルが豊富で、鍋料理に最適です。, 千葉県、茨城県、群馬県, 冷蔵庫で保存、葉はなるべく傷つけないように。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237571/vegetable_7_ewc8hx.jpg,11,2,冬に甘みが増して鍋料理に最適
8,みずな, さっぱりとした味で、ビタミンCが豊富。サラダや和え物に使います。, 千葉県、長野県、静岡県, 冷蔵庫で保存、濡れたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237571/vegetable_8_uzzm7d.jpg,10,3,冬が旬でシャキシャキ食感が楽しめる
9,こまつな, さっぱりとした味わいで、ビタミンCやカルシウムが豊富。おひたしや炒め物に。, 静岡県、千葉県、福岡県, 冷蔵庫で保存、ラップで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237570/vegetable_9_pcstcr.jpg,10,4,冬が最も栄養価が高いとされる
10,ちんげんさい, ビタミンCやカルシウムを含む緑色の葉野菜。炒め物やスープに適しています。, 茨城県、千葉県、福岡県, 冷蔵庫で保存、濡れたキッチンペーパーで包む。,https://res.cloudinary.com/dk0th6cad/image/upload/v1745237571/vegetable_10_at3p6d.jpg,2,5,通年出回るが、春と秋が旬
